station,latitude,longitude,height,source
HCHN,38.3080895000,127.6795442200,561.4840,cors_20260818113354.xls
HCSN,38.0629133500,127.5242503500,301.9662,cors_20260818113354.xls
HSDO,34.6814766100,125.4321283900,56.8832,cors_20260818113354.xls
GANS,37.5425182500,126.8383273100,59.0180,cors_20260818113354.xls
GUMC,37.4588897200,126.9061048100,73.8380,cors_20260818113354.xls
DBON,37.6582005800,127.0511153900,73.0760,cors_20260818113354.xls
SONP,37.4904964700,127.1430368900,75.1820,cors_20260818113354.xls
YONS,37.5411221100,127.0013446100,96.8490,cors_20260818113354.xls
SWGN,37.7556393200,128.9417299000,52.1120,cors_20260818113354.xls
SWGJ,35.1280027400,126.8032362000,62.1850,cors_20260818113354.xls
SWDJ,36.3995943700,127.3751010000,126.7240,cors_20260818113354.xls
SWIC,37.1472089200,127.5492428000,173.8320,cors_20260818113354.xls
SWJJ,33.4260112000,126.2943401000,75.9230,cors_20260818113354.xls
GCNG,35.8170200000,129.1362600000,107.0040,cors_20260818113354.xls
GKPG,35.8905800000,128.6066900000,110.6640,cors_20260818113354.xls
DUCG,35.7446100000,129.1757800000,101.9670,cors_20260818113354.xls
YANS,35.3450900000,129.0680600000,233.7770,cors_20260818113354.xls
MGBG,36.6401700000,128.2146500000,121.3350,cors_20260818113354.xls
BOGG,35.7014600000,129.2067200000,117.9550,cors_20260818113354.xls
SMCK,37.4520000000,129.1598700000,119.5610,cors_20260818113354.xls
YKBG,38.2253700000,127.9903600000,321.8950,cors_20260818113354.xls
YSBG,35.4680800000,129.0799100000,105.2100,cors_20260818113354.xls
JSBG,37.3174700000,128.6853100000,351.7570,cors_20260818113354.xls
JJBG,33.4515000000,126.6558300000,459.8300,cors_20260818113354.xls
JRBG,35.2129500000,127.6403600000,71.9750,cors_20260818113354.xls
CGUG,35.8194400000,129.2698400000,191.8040,cors_20260818113354.xls
POHG,36.0799300000,129.3528100000,76.6780,cors_20260818113354.xls
POSG,36.0255600000,129.3117000000,78.9740,cors_20260818113354.xls
HSBG,36.5554600000,126.6359500000,84.3610,cors_20260818113354.xls
HWSG,34.9769100000,126.8993900000,79.5560,cors_20260818113354.xls
HDBG,35.7337500000,129.3989100000,180.3160,cors_20260818113354.xls
KOHG,34.4537777800,127.5191888900,39.6170,cors_20260818113354.xls
DAEJ,36.3994300000,127.3744861100,116.8494,cors_20260818113354.xls
MKPO,34.8168500000,126.3814166700,64.3995,cors_20260818113354.xls
MLYN,35.4913700000,128.7439777800,42.6150,cors_20260818113354.xls
BHAO,36.1637400000,128.9763333300,1133.1655,cors_20260818113354.xls
SKMA,37.4935250000,126.9180055600,61.7020,cors_20260818113354.xls
SBAO,36.9342305600,128.4569361100,1369.3062,cors_20260818113354.xls
JEJU,33.2883416700,126.4621833300,430.1959,cors_20260818113354.xls
